r,u,generated_transitions,expanded_states
2,0x00002090,3080,41
2,0x000020a0,2720,41
2,0x000020b0,2780,41
2,0x000020c0,2480,41
2,0x000020d0,3080,41
2,0x000020e0,2480,41
2,0x000020f0,2780,41
2,0x00002100,325160,41
2,0x00002200,160016,17
2,0x00002300,325160,41
2,0x00002400,122576,17
2,0x00002500,325160,41
2,0x00002600,122576,17
2,0x00002700,325160,41
2,0x00002800,362600,41
2,0x00002900,325160,41
2,0x00002a00,362600,41
2,0x00002b00,325160,41
2,0x00002c00,325160,41
2,0x00002d00,325160,41
2,0x00002e00,325160,41
2,0x00002f00,325160,41
2,0x00003000,98,11
2,0x00003001,73316,101
2,0x00003002,35240,41
2,0x00003003,73316,101
2,0x00003004,27848,41
2,0x00003005,73316,101
2,0x00003006,27848,41
2,0x00003007,73316,101
2,0x00003008,80708,101
2,0x00003009,73316,101
2,0x0000300a,80708,101
2,0x0000300b,73316,101
2,0x0000300c,73316,101
2,0x0000300d,73316,101
2,0x0000300e,73316,101
2,0x0000300f,73316,101
2,0x00003010,7280,101
2,0x00003020,3320,41
2,0x00003030,7220,101
2,0x00003040,2870,41
2,0x00003050,7340,101
2,0x00003060,2840,41
2,0x00003070,7310,101
2,0x00003080,7892,101
2,0x00003090,7340,101
2,0x000030a0,7892,101
2,0x000030b0,7430,101
2,0x000030c0,7442,101
2,0x000030d0,7340,101
2,0x000030e0,7442,101
2,0x000030f0,7310,101
2,0x00003200,352040,41
2,0x00003400,269672,41
2,0x00003600,269672,41
2,0x00004000,38,5
2,0x00004001,28328,41
2,0x00004002,13616,17
2,0x00004003,28328,41
2,0x00004004,10760,17
2,0x00004005,28328,41
2,0x00004006,10760,17
2,0x00004007,28328,41
2,0x00004008,31184,41
2,0x00004009,28328,41
2,0x0000400a,31184,41
2,0x0000400b,28328,41
2,0x0000400c,28328,41
2,0x0000400d,28328,41
2,0x0000400e,28328,41
2,0x0000400f,28328,41
2,0x00004010,2960,41
2,0x00004020,1376,17
2,0x00004030,2990,41
2,0x00004040,1070,17
2,0x00004050,2960,41
2,0x00004060,1130,17
2,0x00004070,2990,41
2,0x00004080,3176,41
2,0x00004090,2930,41
2,0x000040a0,3176,41
2,0x000040b0,2930,41
2,0x000040c0,2972,41
2,0x000040d0,2930,41
2,0x000040e0,2972,41
2,0x000040f0,2930,41
2,0x00004100,276392,41
2,0x00004200,136016,17
2,0x00004300,276392,41
2,0x00004400,104192,17
2,0x00004500,276392,41
2,0x00004600,104192,17
2,0x00004700,276392,41
2,0x00004800,308216,41
2,0x00004900,276392,41
2,0x00004a00,308216,41
2,0x00004b00,276392,41
2,0x00004c00,276392,41
2,0x00004d00,276392,41
2,0x00004e00,276392,41
2,0x00005000,98,11
2,0x00005001,73316,101
2,0x00005002,35240,41
2,0x00005003,73316,101
2,0x00005004,27848,41
2,0x00005005,73316,101
2,0x00005006,27848,41
2,0x00005007,73316,101
2,0x00005008,80708,101
2,0x00005009,73316,101
2,0x0000500a,80708,101
2,0x0000500b,73316,101
2,0x0000500c,73316,101
2,0x0000500d,73316,101
2,0x0000500e,73316,101
2,0x0000500f,73316,101
2,0x00005010,7310,101
2,0x00005020,3320,41
2,0x00005030,7340,101
2,0x00005040,2840,41
2,0x00005050,7220,101
2,0x00005060,2870,41
2,0x00005070,7280,101
2,0x00005080,7892,101
2,0x00005090,7340,101
2,0x000050a0,7892,101
2,0x000050b0,7310,101
2,0x000050c0,7442,101
2,0x000050d0,7340,101
2,0x000050e0,7442,101
2,0x000050f0,7430,101
2,0x00005100,715364,101
2,0x00005200,352040,41
2,0x00005300,715364,101
2,0x00005400,269672,41
2,0x00005500,715364,101
2,0x00005600,269672,41
2,0x00005700,715364,101
2,0x00005800,797732,101
2,0x00005900,715364,101
2,0x00005a00,797732,101
2,0x00005b00,715364,101
2,0x00005c00,715364,101
2,0x00005d00,715364,101
2,0x00005e00,715364,101
2,0x00006000,38,5
2,0x00006001,28328,41
2,0x00006002,13616,17
2,0x00006003,28328,41
2,0x00006004,10760,17
2,0x00006005,28328,41
2,0x00006006,10760,17
2,0x00006007,28328,41
2,0x00006008,31184,41
2,0x00006009,28328,41
2,0x0000600a,31184,41
2,0x0000600b,28328,41
2,0x0000600c,28328,41
2,0x0000600d,28328,41
2,0x0000600e,28328,41
2,0x0000600f,28328,41
2,0x00006010,2990,41
2,0x00006020,1376,17
2,0x00006030,2960,41
2,0x00006040,1130,17
2,0x00006050,2990,41
2,0x00006060,1070,17
2,0x00006070,2960,41
2,0x00006080,3176,41
2,0x00006090,2930,41
2,0x000060a0,3176,41
2,0x000060b0,2930,41
2,0x000060c0,2972,41
2,0x000060d0,2930,41
2,0x000060e0,2972,41
2,0x000060f0,2930,41
2,0x00006100,276392,41
2,0x00006200,136016,17
2,0x00006300,276392,41
2,0x00006400,104192,17
2,0x00006500,276392,41
2,0x00006600,104192,17
2,0x00006700,276392,41
2,0x00006800,308216,41
2,0x00006900,276392,41
2,0x00006a00,308216,41
2,0x00006b00,276392,41
2,0x00006c00,276392,41
2,0x00006d00,276392,41
2,0x00006e00,276392,41
2,0x00007000,98,11
2,0x00007001,73316,101
2,0x00007002,35240,41
2,0x00007003,73316,101
2,0x00007004,27848,41
2,0x00007005,73316,101
2,0x00007006,27848,41
2,0x00007007,73316,101
2,0x00007008,80708,101
2,0x00007009,73316,101
2,0x0000700a,80708,101
2,0x0000700b,73316,101
2,0x0000700c,73316,101
2,0x0000700d,73316,101
2,0x0000700e,73316,101
2,0x0000700f,73316,101
2,0x00007010,7340,101
2,0x00007020,3320,41
2,0x00007030,7310,101
2,0x00007040,2870,41
2,0x00007050,7280,101
2,0x00007060,2840,41
2,0x00007070,7220,101
2,0x00007080,7892,101
2,0x00007090,7340,101
2,0x000070a0,7892,101
2,0x000070b0,7310,101
2,0x000070c0,7442,101
2,0x000070d0,7340,101
2,0x000070e0,7442,101
2,0x000070f0,7430,101
2,0x00007100,715364,101
2,0x00007200,352040,41
2,0x00007300,715364,101
2,0x00007400,269672,41
2,0x00007500,715364,101
2,0x00007600,269672,41
2,0x00007700,715364,101
2,0x00007800,797732,101
2,0x00007900,715364,101
2,0x00007a00,797732,101
2,0x00007b00,715364,101
2,0x00007c00,715364,101
2,0x00007d00,715364,101
2,0x00007e00,715364,101
2,0x00008000,104,11
2,0x00008001,78308,101
2,0x00008002,37640,41
2,0x00008003,78308,101
2,0x00008004,29744,41
2,0x00008005,78308,101
2,0x00008006,29744,41
2,0x00008007,78308,101
2,0x00008008,86204,101
2,0x00008009,78308,101
2,0x0000800a,86204,101
2,0x0000800b,78308,101
2,0x0000800c,78308,101
2,0x0000800d,78308,101
2,0x0000800e,78308,101
2,0x0000800f,78308,101
2,0x00008010,7292,101
2,0x00008020,2960,41
2,0x00008030,7292,101
2,0x00008040,2816,41
2,0x00008050,7292,101
2,0x00008060,2816,41
2,0x00008070,7292,101
2,0x00008080,7214,101
2,0x00008090,7502,101
2,0x000080a0,7214,101
2,0x000080b0,7082,101
2,0x000080c0,6680,101
2,0x000080d0,7502,101
2,0x000080e0,6680,101
2,0x000080f0,7082,101
2,0x00008200,376040,41
2,0x00008400,288056,41
2,0x00008600,288056,41
2,0x00009000,98,11
2,0x00009001,73316,101
2,0x00009002,35240,41
2,0x00009003,73316,101
2,0x00009004,27848,41
2,0x00009005,73316,101
2,0x00009006,27848,41
2,0x00009007,73316,101
2,0x00009008,80708,101
2,0x00009009,73316,101
2,0x0000900a,80708,101
2,0x0000900b,73316,101
2,0x0000900c,73316,101
2,0x0000900d,73316,101
2,0x0000900e,73316,101
2,0x0000900f,73316,101
2,0x00009010,7340,101
2,0x00009020,3560,41
2,0x00009030,7340,101
2,0x00009040,2810,41
2,0x00009050,7340,101
2,0x00009060,2810,41
2,0x00009070,7340,101
2,0x00009080,8102,101
2,0x00009090,7100,101
2,0x000090a0,8102,101
2,0x000090b0,7400,101
2,0x000090c0,7712,101
2,0x000090d0,7100,101
2,0x000090e0,7712,101
2,0x000090f0,7400,101
2,0x00009200,352040,41
2,0x00009400,269672,41
2,0x00009600,269672,41
2,0x0000a000,104,11
2,0x0000a001,78308,101
2,0x0000a002,37640,41
2,0x0000a003,78308,101
2,0x0000a004,29744,41
2,0x0000a005,78308,101
2,0x0000a006,29744,41
2,0x0000a007,78308,101
2,0x0000a008,86204,101
2,0x0000a009,78308,101
2,0x0000a00a,86204,101
2,0x0000a00b,78308,101
2,0x0000a00c,78308,101
2,0x0000a00d,78308,101
2,0x0000a00e,78308,101
2,0x0000a00f,78308,101
2,0x0000a010,7292,101
2,0x0000a020,2960,41
2,0x0000a030,7292,101
2,0x0000a040,2816,41
2,0x0000a050,7292,101
2,0x0000a060,2816,41
2,0x0000a070,7292,101
2,0x0000a080,7214,101
2,0x0000a090,7502,101
2,0x0000a0a0,7214,101
2,0x0000a0b0,7082,101
2,0x0000a0c0,6680,101
2,0x0000a0d0,7502,101
2,0x0000a0e0,6680,101
2,0x0000a0f0,7082,101
2,0x0000a200,376040,41
2,0x0000a400,288056,41
2,0x0000a600,288056,41
2,0x0000b000,98,11
2,0x0000b001,73316,101
2,0x0000b002,35240,41
2,0x0000b003,73316,101
2,0x0000b004,27848,41
2,0x0000b005,73316,101
2,0x0000b006,27848,41
2,0x0000b007,73316,101
2,0x0000b008,80708,101
2,0x0000b009,73316,101
2,0x0000b00a,80708,101
2,0x0000b00b,73316,101
2,0x0000b00c,73316,101
2,0x0000b00d,73316,101
2,0x0000b00e,73316,101
2,0x0000b00f,73316,101
2,0x0000b010,7430,101
2,0x0000b020,3260,41
2,0x0000b030,7430,101
2,0x0000b040,2810,41
2,0x0000b050,7310,101
2,0x0000b060,2810,41
2,0x0000b070,7310,101
2,0x0000b080,7682,101
2,0x0000b090,7400,101
2,0x0000b0a0,7682,101
2,0x0000b0b0,7100,101
2,0x0000b0c0,7172,101
2,0x0000b0d0,7400,101
2,0x0000b0e0,7172,101
2,0x0000b0f0,7400,101
2,0x0000b200,352040,41
2,0x0000b400,269672,41
2,0x0000b600,269672,41
2,0x0000c000,98,11
2,0x0000c001,73316,101
2,0x0000c002,35240,41
2,0x0000c003,73316,101
2,0x0000c004,27848,41
2,0x0000c005,73316,101
2,0x0000c006,27848,41
2,0x0000c007,73316,101
2,0x0000c008,80708,101
2,0x0000c009,73316,101
2,0x0000c00a,80708,101
2,0x0000c00b,73316,101
2,0x0000c00c,73316,101
2,0x0000c00d,73316,101
2,0x0000c00e,73316,101
2,0x0000c00f,73316,101
2,0x0000c010,7442,101
2,0x0000c020,2960,41
2,0x0000c030,7442,101
2,0x0000c040,2852,41
2,0x0000c050,7442,101
2,0x0000c060,2852,41
2,0x0000c070,7442,101
2,0x0000c080,7280,101
2,0x0000c090,7712,101
2,0x0000c0a0,7280,101
2,0x0000c0b0,7172,101
2,0x0000c0c0,6620,101
2,0x0000c0d0,7712,101
2,0x0000c0e0,6620,101
2,0x0000c0f0,7172,101
2,0x0000c200,352040,41
2,0x0000c400,269672,41
2,0x0000c600,269672,41
2,0x0000d000,98,11
2,0x0000d001,73316,101
2,0x0000d002,35240,41
2,0x0000d003,73316,101
2,0x0000d004,27848,41
2,0x0000d005,73316,101
2,0x0000d006,27848,41
2,0x0000d007,73316,101
2,0x0000d008,80708,101
2,0x0000d009,73316,101
2,0x0000d00a,80708,101
2,0x0000d00b,73316,101
2,0x0000d00c,73316,101
2,0x0000d00d,73316,101
2,0x0000d00e,73316,101
2,0x0000d00f,73316,101
2,0x0000d010,7340,101
2,0x0000d020,3560,41
2,0x0000d030,7340,101
2,0x0000d040,2810,41
2,0x0000d050,7340,101
2,0x0000d060,2810,41
2,0x0000d070,7340,101
2,0x0000d080,8102,101
2,0x0000d090,7100,101
2,0x0000d0a0,8102,101
2,0x0000d0b0,7400,101
2,0x0000d0c0,7712,101
2,0x0000d0d0,7100,101
2,0x0000d0e0,7712,101
2,0x0000d0f0,7400,101
2,0x0000d200,352040,41
2,0x0000d400,269672,41
2,0x0000d600,269672,41
2,0x0000e000,98,11
2,0x0000e001,73316,101
2,0x0000e002,35240,41
2,0x0000e003,73316,101
2,0x0000e004,27848,41
2,0x0000e005,73316,101
2,0x0000e006,27848,41
2,0x0000e007,73316,101
2,0x0000e008,80708,101
2,0x0000e009,73316,101
2,0x0000e00a,80708,101
2,0x0000e00b,73316,101
2,0x0000e00c,73316,101
2,0x0000e00d,73316,101
2,0x0000e00e,73316,101
2,0x0000e00f,73316,101
2,0x0000e010,7442,101
2,0x0000e020,2960,41
2,0x0000e030,7442,101
2,0x0000e040,2852,41
2,0x0000e050,7442,101
2,0x0000e060,2852,41
2,0x0000e070,7442,101
2,0x0000e080,7280,101
2,0x0000e090,7712,101
2,0x0000e0a0,7280,101
2,0x0000e0b0,7172,101
2,0x0000e0c0,6620,101
2,0x0000e0d0,7712,101
2,0x0000e0e0,6620,101
2,0x0000e0f0,7172,101
2,0x0000e200,352040,41
2,0x0000e400,269672,41
2,0x0000e600,269672,41
2,0x0000f000,98,11
2,0x0000f001,73316,101
2,0x0000f002,35240,41
2,0x0000f003,73316,101
2,0x0000f004,27848,41
2,0x0000f005,73316,101
2,0x0000f006,27848,41
2,0x0000f007,73316,101
2,0x0000f008,80708,101
2,0x0000f009,73316,101
2,0x0000f00a,80708,101
2,0x0000f00b,73316,101
2,0x0000f00c,73316,101
2,0x0000f00d,73316,101
2,0x0000f00e,73316,101
2,0x0000f00f,73316,101
2,0x0000f010,7310,101
2,0x0000f020,3260,41
2,0x0000f030,7310,101
2,0x0000f040,2810,41
2,0x0000f050,7430,101
2,0x0000f060,2810,41
2,0x0000f070,7430,101
2,0x0000f080,7682,101
2,0x0000f090,7400,101
2,0x0000f0a0,7682,101
2,0x0000f0b0,7400,101
2,0x0000f0c0,7172,101
2,0x0000f0d0,7400,101
2,0x0000f0e0,7172,101
2,0x0000f0f0,7100,101
2,0x0000f200,352040,41
2,0x0000f400,269672,41
2,0x0000f600,269672,41
2,0x00010000,842,11
2,0x00010010,61460,101
2,0x00010030,62060,101
2,0x00010040,24320,41
2,0x00010050,62360,101
2,0x00010060,24620,41
2,0x00010080,67028,101
2,0x00010090,62660,101
2,0x000100a0,67028,101
2,0x000100b0,63560,101
2,0x000100c0,63608,101
2,0x000100d0,62660,101
2,0x000100e0,63608,101
2,0x00011000,73316,101
2,0x00012000,33320,41
2,0x00013000,73316,101
2,0x00014000,28328,41
2,0x00015000,73316,101
2,0x00016000,28328,41
2,0x00017000,73316,101
2,0x00018000,78308,101
2,0x00019000,73316,101
2,0x0001a000,78308,101
2,0x0001b000,73316,101
2,0x0001c000,73316,101
2,0x0001d000,73316,101
2,0x0001e000,73316,101
2,0x0001f000,73316,101
2,0x00020000,404,5
2,0x00020020,10016,17
2,0x00020040,11216,17
2,0x00020060,11216,17
2,0x00020090,30440,41
2,0x000200b0,27440,41
2,0x000200d0,30440,41
2,0x000200f0,27440,41
2,0x00021000,35240,41
2,0x00022000,16016,17
2,0x00023000,35240,41
2,0x00024000,13616,17
2,0x00025000,35240,41
2,0x00026000,13616,17
2,0x00027000,35240,41
2,0x00028000,37640,41
2,0x00029000,35240,41
2,0x0002a000,37640,41
2,0x0002b000,35240,41
2,0x0002c000,35240,41
2,0x0002d000,35240,41
2,0x0002e000,35240,41
2,0x0002f000,35240,41
2,0x00030000,842,11
2,0x00030010,62060,101
2,0x00030030,61460,101
2,0x00030040,24620,41
2,0x00030060,24320,41
2,0x00030080,67028,101
2,0x00030090,62660,101
2,0x000300a0,67028,101
2,0x000300b0,63560,101
2,0x000300c0,63608,101
2,0x000300d0,62660,101
2,0x000300e0,63608,101
2,0x00031000,73316,101
2,0x00032000,33320,41
2,0x00033000,73316,101
2,0x00034000,28328,41
2,0x00035000,73316,101
2,0x00036000,28328,41
2,0x00037000,73316,101
2,0x00038000,78308,101
2,0x00039000,73316,101
2,0x0003a000,78308,101
2,0x0003b000,73316,101
2,0x0003c000,73316,101
2,0x0003d000,73316,101
2,0x0003e000,73316,101
2,0x0003f000,73316,101
2,0x00040000,320,5
2,0x00040010,24320,41
2,0x00040020,11216,17
2,0x00040030,24620,41
2,0x00040040,8732,17
2,0x00040050,24320,41
2,0x00040060,9332,17
2,0x00040070,24620,41
2,0x00040080,25904,41
2,0x00040090,24020,41
2,0x000400a0,25904,41
2,0x000400c0,24368,41
2,0x000400d0,24020,41
2,0x000400e0,24368,41
2,0x00041000,27848,41
2,0x00042000,12656,17
2,0x00043000,27848,41
2,0x00044000,10760,17
2,0x00045000,27848,41
2,0x00046000,10760,17
2,0x00047000,27848,41
2,0x00048000,29744,41
2,0x00049000,27848,41
2,0x0004a000,29744,41
2,0x0004b000,27848,41
2,0x0004c000,27848,41
2,0x0004d000,27848,41
2,0x0004e000,27848,41
2,0x0004f000,27848,41
2,0x00050000,842,11
2,0x00050010,62360,101
2,0x00050040,24320,41
2,0x00050050,61460,101
2,0x00050060,24620,41
2,0x00050070,62060,101
2,0x00050080,67028,101
2,0x00050090,62660,101
2,0x000500a0,67028,101
2,0x000500c0,63608,101
2,0x000500d0,62660,101
2,0x000500e0,63608,101
2,0x00051000,73316,101
2,0x00052000,33320,41
2,0x00053000,73316,101
2,0x00054000,28328,41
2,0x00055000,73316,101
2,0x00056000,28328,41
2,0x00057000,73316,101
2,0x00058000,78308,101
2,0x00059000,73316,101
2,0x0005a000,78308,101
2,0x0005b000,73316,101
2,0x0005c000,73316,101
2,0x0005d000,73316,101
2,0x0005e000,73316,101
2,0x0005f000,73316,101
2,0x00060000,320,5
2,0x00060010,24620,41
2,0x00060020,11216,17
2,0x00060030,24320,41
2,0x00060040,9332,17
2,0x00060050,24620,41
2,0x00060060,8732,17
2,0x00060070,24320,41
2,0x00060080,25904,41
2,0x000600a0,25904,41
2,0x000600b0,24020,41
2,0x000600c0,24368,41
2,0x000600e0,24368,41
2,0x000600f0,24020,41
2,0x00061000,27848,41
2,0x00062000,12656,17
2,0x00063000,27848,41
2,0x00064000,10760,17
2,0x00065000,27848,41
2,0x00066000,10760,17
2,0x00067000,27848,41
2,0x00068000,29744,41
2,0x00069000,27848,41
2,0x0006a000,29744,41
2,0x0006b000,27848,41
2,0x0006c000,27848,41
2,0x0006d000,27848,41
2,0x0006e000,27848,41
2,0x0006f000,27848,41
2,0x00070000,842,11
2,0x00070040,24620,41
2,0x00070050,62060,101
2,0x00070060,24320,41
2,0x00070070,61460,101
2,0x00070080,67028,101
2,0x00070090,62660,101
2,0x000700a0,67028,101
2,0x000700b0,62360,101
2,0x000700c0,63608,101
2,0x000700d0,62660,101
2,0x000700e0,63608,101
2,0x00071000,73316,101
2,0x00072000,33320,41
2,0x00073000,73316,101
2,0x00074000,28328,41
2,0x00075000,73316,101
2,0x00076000,28328,41
2,0x00077000,73316,101
2,0x00078000,78308,101
2,0x00079000,73316,101
2,0x0007a000,78308,101
2,0x0007b000,73316,101
2,0x0007c000,73316,101
2,0x0007d000,73316,101
2,0x0007e000,73316,101
2,0x0007f000,73316,101
2,0x00080000,926,11
2,0x00080010,67028,101
2,0x00080030,67028,101
2,0x00080040,25904,41
2,0x00080050,67028,101
2,0x00080060,25904,41
2,0x00080070,67028,101
2,0x00080080,65816,101
2,0x00080090,69128,101
2,0x000800a0,65816,101
2,0x000800b0,64928,101
2,0x000800c0,60980,101
2,0x000800e0,60980,101
2,0x00081000,80708,101
2,0x00082000,36680,41
2,0x00083000,80708,101
2,0x00084000,31184,41
2,0x00085000,80708,101
2,0x00086000,31184,41
2,0x00087000,80708,101
2,0x00088000,86204,101
2,0x00089000,80708,101
2,0x0008a000,86204,101
2,0x0008b000,80708,101
2,0x0008c000,80708,101
2,0x0008d000,80708,101
2,0x0008e000,80708,101
2,0x0008f000,80708,101
2,0x00090000,842,11
2,0x00090010,62660,101
2,0x00090020,30440,41
2,0x00090030,62660,101
2,0x00090040,24020,41
2,0x00090050,62660,101
2,0x00090070,62660,101
2,0x00090080,69128,101
2,0x00090090,60260,101
2,0x000900a0,69128,101
2,0x000900b0,63260,101
2,0x000900c0,66308,101
2,0x000900d0,60260,101
2,0x000900e0,66308,101
2,0x000900f0,63260,101
2,0x00091000,73316,101
2,0x00092000,33320,41
2,0x00093000,73316,101
2,0x00094000,28328,41
2,0x00095000,73316,101
2,0x00096000,28328,41
2,0x00097000,73316,101
2,0x00098000,78308,101
2,0x00099000,73316,101
2,0x0009a000,78308,101
2,0x0009b000,73316,101
2,0x0009c000,73316,101
2,0x0009d000,73316,101
2,0x0009e000,73316,101
2,0x0009f000,73316,101
2,0x000a0000,926,11
2,0x000a0010,67028,101
2,0x000a0030,67028,101
2,0x000a0040,25904,41
2,0x000a0050,67028,101
2,0x000a0060,25904,41
2,0x000a0070,67028,101
2,0x000a0080,65816,101
2,0x000a0090,69128,101
2,0x000a00a0,65816,101
2,0x000a00b0,64928,101
2,0x000a00c0,60980,101
2,0x000a00e0,60980,101
2,0x000a1000,80708,101
2,0x000a2000,36680,41
2,0x000a3000,80708,101
2,0x000a4000,31184,41
2,0x000a5000,80708,101
2,0x000a6000,31184,41
2,0x000a7000,80708,101
2,0x000a8000,86204,101
2,0x000a9000,80708,101
2,0x000aa000,86204,101
2,0x000ab000,80708,101
2,0x000ac000,80708,101
2,0x000ad000,80708,101
2,0x000ae000,80708,101
2,0x000af000,80708,101
2,0x000b0000,842,11
2,0x000b0010,63560,101
2,0x000b0020,27440,41
2,0x000b0030,63560,101
2,0x000b0060,24020,41
2,0x000b0070,62360,101
2,0x000b0080,64928,101
2,0x000b0090,63260,101
2,0x000b00a0,64928,101
2,0x000b00b0,60260,101
2,0x000b00c0,60908,101
2,0x000b00d0,63260,101
2,0x000b00e0,60908,101
2,0x000b00f0,63260,101
2,0x000b1000,73316,101
2,0x000b2000,33320,41
2,0x000b3000,73316,101
2,0x000b4000,28328,41
2,0x000b5000,73316,101
2,0x000b6000,28328,41
2,0x000b7000,73316,101
2,0x000b8000,78308,101
2,0x000b9000,73316,101
2,0x000ba000,78308,101
2,0x000bb000,73316,101
2,0x000bc000,73316,101
2,0x000bd000,73316,101
2,0x000be000,73316,101
2,0x000bf000,73316,101
