r,u,v
1,0x00000800,0x0eee0000
1,0x00000900,0x08880000
1,0x00000900,0x0ccc0000
1,0x00000a00,0x04440000
1,0x00000a00,0x0eee0000
1,0x00000b00,0x09990000
1,0x00000b00,0x0ddd0000
1,0x00000c00,0x04440000
1,0x00000c00,0x06660000
1,0x00000d00,0x08880000
1,0x00000d00,0x0ccc0000
1,0x00000e00,0x04440000
1,0x00000e00,0x06660000
1,0x00000f00,0x01110000
1,0x00000f00,0x05550000
1,0x00001000,0x00000700
1,0x00001000,0x00000800
1,0x00002000,0x00000100
1,0x00002000,0x00000500
1,0x00002000,0x00000900
1,0x00002000,0x00000d00
1,0x00003000,0x00000300
1,0x00003000,0x00000c00
1,0x00004000,0x00000200
1,0x00004000,0x00000700
1,0x00004000,0x00000a00
1,0x00004000,0x00000f00
1,0x00005000,0x00000800
1,0x00005000,0x00000f00
1,0x00006000,0x00000200
1,0x00006000,0x00000300
1,0x00006000,0x00000a00
1,0x00006000,0x00000b00
1,0x00007000,0x00000b00
1,0x00007000,0x00000c00
1,0x00008000,0x00000400
1,0x00008000,0x00000e00
1,0x00009000,0x00000800
1,0x00009000,0x00000c00
1,0x0000a000,0x00000400
1,0x0000a000,0x00000e00
1,0x0000b000,0x00000900
1,0x0000b000,0x00000d00
1,0x0000c000,0x00000400
1,0x0000c000,0x00000600
1,0x0000d000,0x00000800
1,0x0000d000,0x00000c00
1,0x0000e000,0x00000400
1,0x0000e000,0x00000600
1,0x0000f000,0x00000100
1,0x0000f000,0x00000500
1,0x00010000,0x00007007
1,0x00010000,0x00008008
1,0x00020000,0x00001001
1,0x00020000,0x00005005
1,0x00020000,0x00009009
1,0x00020000,0x0000d00d
1,0x00030000,0x00003003
1,0x00030000,0x0000c00c
1,0x00040000,0x00002002
1,0x00040000,0x00007007
1,0x00040000,0x0000a00a
1,0x00040000,0x0000f00f
1,0x00050000,0x00008008
1,0x00050000,0x0000f00f
1,0x00060000,0x00002002
1,0x00060000,0x00003003
1,0x00060000,0x0000a00a
1,0x00060000,0x0000b00b
1,0x00070000,0x0000b00b
1,0x00070000,0x0000c00c
1,0x00080000,0x00004004
1,0x00080000,0x0000e00e
1,0x00090000,0x00008008
1,0x00090000,0x0000c00c
1,0x000a0000,0x00004004
1,0x000a0000,0x0000e00e
1,0x000b0000,0x00009009
1,0x000b0000,0x0000d00d
1,0x000c0000,0x00004004
1,0x000c0000,0x00006006
1,0x000d0000,0x00008008
1,0x000d0000,0x0000c00c
1,0x000e0000,0x00004004
1,0x000e0000,0x00006006
1,0x000f0000,0x00001001
1,0x000f0000,0x00005005
1,0x00100000,0x07070000
1,0x00100000,0x08080000
1,0x00200000,0x01010000
1,0x00200000,0x05050000
1,0x00200000,0x09090000
1,0x00200000,0x0d0d0000
1,0x00300000,0x03030000
1,0x00300000,0x0c0c0000
1,0x00400000,0x02020000
1,0x00400000,0x07070000
1,0x00400000,0x0a0a0000
1,0x00400000,0x0f0f0000
1,0x00500000,0x08080000
1,0x00500000,0x0f0f0000
1,0x00600000,0x02020000
1,0x00600000,0x03030000
1,0x00600000,0x0a0a0000
1,0x00600000,0x0b0b0000
1,0x00700000,0x0b0b0000
1,0x00700000,0x0c0c0000
1,0x00800000,0x04040000
1,0x00800000,0x0e0e0000
1,0x00900000,0x08080000
1,0x00900000,0x0c0c0000
1,0x00a00000,0x04040000
1,0x00a00000,0x0e0e0000
1,0x00b00000,0x09090000
1,0x00b00000,0x0d0d0000
1,0x00c00000,0x04040000
1,0x00c00000,0x06060000
1,0x00d00000,0x08080000
1,0x00d00000,0x0c0c0000
1,0x00e00000,0x04040000
1,0x00e00000,0x06060000
1,0x00f00000,0x01010000
1,0x00f00000,0x05050000
1,0x01000000,0x00000777
1,0x01000000,0x00000888
1,0x02000000,0x00000111
1,0x02000000,0x00000555
1,0x02000000,0x00000999
1,0x02000000,0x00000ddd
1,0x03000000,0x00000333
1,0x03000000,0x00000ccc
1,0x04000000,0x00000222
1,0x04000000,0x00000777
1,0x04000000,0x00000aaa
1,0x04000000,0x00000fff
1,0x05000000,0x00000888
1,0x05000000,0x00000fff
1,0x06000000,0x00000222
1,0x06000000,0x00000333
1,0x06000000,0x00000aaa
1,0x06000000,0x00000bbb
1,0x07000000,0x00000bbb
1,0x07000000,0x00000ccc
1,0x08000000,0x00000444
1,0x08000000,0x00000eee
1,0x09000000,0x00000888
1,0x09000000,0x00000ccc
1,0x0a000000,0x00000444
1,0x0a000000,0x00000eee
1,0x0b000000,0x00000999
1,0x0b000000,0x00000ddd
1,0x0c000000,0x00000444
1,0x0c000000,0x00000666
1,0x0d000000,0x00000888
1,0x0d000000,0x00000ccc
1,0x0e000000,0x00000444
1,0x0e000000,0x00000666
1,0x0f000000,0x00000111
1,0x0f000000,0x00000555
1,0x10000000,0x07000000
1,0x10000000,0x08000000
1,0x20000000,0x01000000
1,0x20000000,0x05000000
1,0x20000000,0x09000000
1,0x20000000,0x0d000000
1,0x30000000,0x03000000
1,0x30000000,0x0c000000
1,0x40000000,0x02000000
1,0x40000000,0x07000000
1,0x40000000,0x0a000000
1,0x40000000,0x0f000000
1,0x50000000,0x08000000
1,0x50000000,0x0f000000
1,0x60000000,0x02000000
1,0x60000000,0x03000000
1,0x60000000,0x0a000000
1,0x60000000,0x0b000000
1,0x70000000,0x0b000000
1,0x70000000,0x0c000000
1,0x80000000,0x04000000
1,0x80000000,0x0e000000
1,0x90000000,0x08000000
1,0x90000000,0x0c000000
1,0xa0000000,0x04000000
1,0xa0000000,0x0e000000
1,0xb0000000,0x09000000
1,0xb0000000,0x0d000000
1,0xc0000000,0x04000000
1,0xc0000000,0x06000000
1,0xd0000000,0x08000000
1,0xd0000000,0x0c000000
1,0xe0000000,0x04000000
1,0xe0000000,0x06000000
1,0xf0000000,0x01000000
1,0xf0000000,0x05000000
2,0x00000001,0x01005005
2,0x00000001,0x01007007
2,0x00000001,0x0100b00b
2,0x00000001,0x0100f00f
2,0x00000001,0x02002002
2,0x00000001,0x02003003
2,0x00000001,0x03002002
2,0x00000001,0x03004004
2,0x00000001,0x04003003
2,0x00000001,0x0400b00b
2,0x00000001,0x0400e00e
2,0x00000001,0x05001001
2,0x00000001,0x0500e00e
2,0x00000001,0x06006006
2,0x00000001,0x0600d00d
2,0x00000001,0x07001001
2,0x00000001,0x07009009
2,0x00000001,0x0700e00e
2,0x00000001,0x08008008
2,0x00000001,0x0800c00c
2,0x00000001,0x09007007
2,0x00000001,0x0900d00d
2,0x00000001,0x0900e00e
2,0x00000001,0x0900f00f
2,0x00000001,0x0a00a00a
2,0x00000001,0x0a00c00c
2,0x00000001,0x0b001001
2,0x00000001,0x0b004004
2,0x00000001,0x0b00b00b
2,0x00000001,0x0b00c00c
2,0x00000001,0x0b00d00d
2,0x00000001,0x0b00e00e
2,0x00000001,0x0c008008
2,0x00000001,0x0c00a00a
2,0x00000001,0x0c00b00b
2,0x00000001,0x0c00c00c
2,0x00000001,0x0d006006
2,0x00000001,0x0d009009
2,0x00000001,0x0d00b00b
2,0x00000001,0x0d00e00e
2,0x00000001,0x0e004004
2,0x00000001,0x0e005005
2,0x00000001,0x0e007007
2,0x00000001,0x0e009009
2,0x00000001,0x0e00b00b
2,0x00000001,0x0e00d00d
2,0x00000001,0x0f001001
2,0x00000001,0x0f009009
2,0x00000002,0x01008008
2,0x00000002,0x02008008
2,0x00000002,0x0200f00f
2,0x00000002,0x0300c00c
2,0x00000002,0x05008008
2,0x00000002,0x06008008
2,0x00000002,0x0600c00c
2,0x00000002,0x07008008
2,0x00000002,0x08001001
2,0x00000002,0x08002002
2,0x00000002,0x08005005
2,0x00000002,0x08006006
2,0x00000002,0x08007007
2,0x00000002,0x08008008
2,0x00000002,0x08009009
2,0x00000002,0x0800a00a
2,0x00000002,0x0800d00d
2,0x00000002,0x0800e00e
2,0x00000002,0x09008008
2,0x00000002,0x0a008008
2,0x00000002,0x0a00f00f
2,0x00000002,0x0b00c00c
2,0x00000002,0x0c003003
2,0x00000002,0x0c006006
2,0x00000002,0x0c00b00b
2,0x00000002,0x0c00c00c
2,0x00000002,0x0c00e00e
2,0x00000002,0x0d008008
2,0x00000002,0x0e008008
2,0x00000002,0x0e00c00c
2,0x00000002,0x0f002002
2,0x00000002,0x0f00a00a
2,0x00000002,0x0f00f00f
2,0x00000003,0x01001001
2,0x00000003,0x01005005
2,0x00000003,0x0100e00e
2,0x00000003,0x02003003
2,0x00000003,0x0200b00b
2,0x00000003,0x0200c00c
2,0x00000003,0x03002002
2,0x00000003,0x03003003
2,0x00000003,0x03005005
2,0x00000003,0x03009009
2,0x00000003,0x0300a00a
2,0x00000003,0x0300b00b
2,0x00000003,0x0300c00c
2,0x00000003,0x04004004
2,0x00000003,0x05001001
2,0x00000003,0x05003003
2,0x00000003,0x05005005
2,0x00000003,0x06006006
2,0x00000003,0x06007007
2,0x00000003,0x0600b00b
2,0x00000003,0x0600d00d
2,0x00000003,0x0600f00f
2,0x00000003,0x07006006
2,0x00000003,0x08008008
2,0x00000003,0x0800c00c
2,0x00000003,0x09003003
2,0x00000003,0x09009009
2,0x00000003,0x0900d00d
2,0x00000003,0x0a003003
2,0x00000003,0x0b002002
2,0x00000003,0x0b003003
2,0x00000003,0x0b006006
2,0x00000003,0x0c002002
2,0x00000003,0x0c003003
2,0x00000003,0x0c008008
2,0x00000003,0x0c00c00c
2,0x00000003,0x0d006006
2,0x00000003,0x0d009009
2,0x00000003,0x0d00d00d
2,0x00000003,0x0e001001
2,0x00000003,0x0e00f00f
2,0x00000003,0x0f006006
2,0x00000003,0x0f00e00e
2,0x00000004,0x01001001
2,0x00000004,0x01006006
2,0x00000004,0x01007007
2,0x00000004,0x01009009
2,0x00000004,0x0100d00d
2,0x00000004,0x0100f00f
2,0x00000004,0x0200b00b
2,0x00000004,0x03005005
2,0x00000004,0x04004004
2,0x00000004,0x0400e00e
2,0x00000004,0x05003003
2,0x00000004,0x05005005
2,0x00000004,0x05006006
2,0x00000004,0x05009009
2,0x00000004,0x0500d00d
2,0x00000004,0x0500e00e
2,0x00000004,0x06001001
2,0x00000004,0x06005005
2,0x00000004,0x07001001
2,0x00000004,0x0700e00e
2,0x00000004,0x09001001
2,0x00000004,0x09005005
2,0x00000004,0x09009009
2,0x00000004,0x0900b00b
2,0x00000004,0x0a00b00b
2,0x00000004,0x0b002002
2,0x00000004,0x0b009009
2,0x00000004,0x0b00a00a
2,0x00000004,0x0b00b00b
2,0x00000004,0x0b00c00c
2,0x00000004,0x0b00e00e
2,0x00000004,0x0c00b00b
2,0x00000004,0x0c00c00c
2,0x00000004,0x0d001001
2,0x00000004,0x0d005005
2,0x00000004,0x0d00d00d
2,0x00000004,0x0d00e00e
2,0x00000004,0x0e004004
2,0x00000004,0x0e005005
2,0x00000004,0x0e007007
2,0x00000004,0x0e00b00b
2,0x00000004,0x0e00d00d
2,0x00000004,0x0e00f00f
2,0x00000004,0x0f001001
2,0x00000004,0x0f00e00e
2,0x00000005,0x01003003
2,0x00000005,0x01005005
2,0x00000005,0x0100e00e
2,0x00000005,0x02003003
2,0x00000005,0x03001001
2,0x00000005,0x03002002
2,0x00000005,0x04004004
2,0x00000005,0x04007007
2,0x00000005,0x0400e00e
2,0x00000005,0x0400f00f
2,0x00000005,0x05001001
2,0x00000005,0x05006006
2,0x00000005,0x05007007
2,0x00000005,0x0500b00b
2,0x00000005,0x0500f00f
2,0x00000005,0x06005005
2,0x00000005,0x07004004
2,0x00000005,0x07005005
2,0x00000005,0x08008008
2,0x00000005,0x0800c00c
2,0x00000005,0x09009009
2,0x00000005,0x0900e00e
2,0x00000005,0x0a00b00b
2,0x00000005,0x0b005005
2,0x00000005,0x0b00a00a
2,0x00000005,0x0c008008
2,0x00000005,0x0d00d00d
2,0x00000005,0x0e001001
2,0x00000005,0x0e004004
2,0x00000005,0x0e009009
2,0x00000005,0x0f004004
2,0x00000005,0x0f005005
2,0x00000006,0x01001001
2,0x00000006,0x01003003
2,0x00000006,0x01005005
2,0x00000006,0x0100d00d
2,0x00000006,0x02009009
2,0x00000006,0x0200d00d
2,0x00000006,0x03001001
2,0x00000006,0x03006006
2,0x00000006,0x03009009
2,0x00000006,0x0300c00c
2,0x00000006,0x0300d00d
2,0x00000006,0x0300e00e
2,0x00000006,0x04004004
2,0x00000006,0x0400e00e
2,0x00000006,0x05001001
2,0x00000006,0x05005005
2,0x00000006,0x05009009
2,0x00000006,0x0500e00e
2,0x00000006,0x06003003
2,0x00000006,0x0700d00d
2,0x00000006,0x09002002
2,0x00000006,0x09003003
2,0x00000006,0x09005005
2,0x00000006,0x09009009
2,0x00000006,0x0900a00a
2,0x00000006,0x0900b00b
2,0x00000006,0x0900e00e
2,0x00000006,0x0a009009
2,0x00000006,0x0a00d00d
2,0x00000006,0x0b009009
2,0x00000006,0x0b00e00e
2,0x00000006,0x0c003003
2,0x00000006,0x0c00c00c
2,0x00000006,0x0d001001
2,0x00000006,0x0d002002
2,0x00000006,0x0d003003
2,0x00000006,0x0d007007
2,0x00000006,0x0d00a00a
2,0x00000006,0x0d00d00d
2,0x00000006,0x0d00f00f
2,0x00000006,0x0e003003
2,0x00000006,0x0e004004
2,0x00000006,0x0e005005
2,0x00000006,0x0e009009
2,0x00000006,0x0e00b00b
2,0x00000006,0x0e00e00e
2,0x00000006,0x0f00d00d
2,0x00000007,0x01004004
2,0x00000007,0x01009009
2,0x00000007,0x02003003
2,0x00000007,0x03002002
2,0x00000007,0x03006006
2,0x00000007,0x04001001
2,0x00000007,0x04004004
2,0x00000007,0x04005005
2,0x00000007,0x04009009
2,0x00000007,0x0400d00d
2,0x00000007,0x05004004
2,0x00000007,0x0500d00d
2,0x00000007,0x06003003
2,0x00000007,0x06006006
2,0x00000007,0x07007007
2,0x00000007,0x0700b00b
2,0x00000007,0x08008008
2,0x00000007,0x0800c00c
2,0x00000007,0x09001001
2,0x00000007,0x09004004
2,0x00000007,0x09009009
2,0x00000007,0x0900d00d
2,0x00000007,0x0a00b00b
2,0x00000007,0x0b007007
2,0x00000007,0x0b00a00a
2,0x00000007,0x0c008008
2,0x00000007,0x0d004004
2,0x00000007,0x0d005005
2,0x00000007,0x0d009009
2,0x00000007,0x0d00d00d
2,0x00000007,0x0e00f00f
2,0x00000007,0x0f00e00e
2,0x00000007,0x0f00f00f
2,0x00000008,0x01006006
2,0x00000008,0x0100a00a
2,0x00000008,0x0100b00b
2,0x00000008,0x02002002
2,0x00000008,0x0200a00a
2,0x00000008,0x0200f00f
2,0x00000008,0x03005005
2,0x00000008,0x0300c00c
2,0x00000008,0x04004004
2,0x00000008,0x04006006
2,0x00000008,0x05003003
2,0x00000008,0x0500a00a
2,0x00000008,0x0500f00f
2,0x00000008,0x06001001
2,0x00000008,0x06004004
2,0x00000008,0x06006006
2,0x00000008,0x0600b00b
2,0x00000008,0x0600c00c
2,0x00000008,0x0600d00d
2,0x00000008,0x0600f00f
2,0x00000008,0x07007007
2,0x00000008,0x07009009
2,0x00000008,0x0700a00a
2,0x00000008,0x0700f00f
2,0x00000008,0x08008008
2,0x00000008,0x0800f00f
2,0x00000008,0x09007007
2,0x00000008,0x0900d00d
2,0x00000008,0x0a001001
2,0x00000008,0x0a002002
2,0x00000008,0x0a005005
2,0x00000008,0x0a007007
2,0x00000008,0x0a00a00a
2,0x00000008,0x0a00f00f
2,0x00000008,0x0b001001
2,0x00000008,0x0b006006
2,0x00000008,0x0b00c00c
2,0x00000008,0x0c003003
2,0x00000008,0x0c006006
2,0x00000008,0x0c00b00b
2,0x00000008,0x0c00e00e
2,0x00000008,0x0d006006
2,0x00000008,0x0d009009
2,0x00000008,0x0e00c00c
2,0x00000008,0x0f002002
2,0x00000008,0x0f005005
2,0x00000008,0x0f006006
2,0x00000008,0x0f007007
2,0x00000008,0x0f008008
2,0x00000008,0x0f00a00a
2,0x00000008,0x0f00f00f
2,0x00000009,0x01004004
2,0x00000009,0x01005005
2,0x00000009,0x01006006
2,0x00000009,0x0100d00d
2,0x00000009,0x02003003
2,0x00000009,0x0200b00b
2,0x00000009,0x03002002
2,0x00000009,0x0300a00a
2,0x00000009,0x04001001
2,0x00000009,0x04004004
2,0x00000009,0x04005005
2,0x00000009,0x04006006
2,0x00000009,0x04007007
2,0x00000009,0x04009009
2,0x00000009,0x0400d00d
2,0x00000009,0x0400f00f
2,0x00000009,0x05001001
2,0x00000009,0x05004004
2,0x00000009,0x05009009
2,0x00000009,0x06001001
2,0x00000009,0x06004004
2,0x00000009,0x06009009
2,0x00000009,0x07004004
2,0x00000009,0x09004004
2,0x00000009,0x09005005
2,0x00000009,0x09006006
2,0x00000009,0x0900d00d
2,0x00000009,0x0a003003
2,0x00000009,0x0a00b00b
2,0x00000009,0x0b002002
2,0x00000009,0x0b00a00a
2,0x00000009,0x0c00c00c
2,0x00000009,0x0d001001
2,0x00000009,0x0d004004
2,0x00000009,0x0d009009
2,0x00000009,0x0e00e00e
2,0x00000009,0x0f004004
2,0x0000000a,0x01002002
2,0x0000000a,0x01006006
2,0x0000000a,0x0100b00b
2,0x0000000a,0x02001001
2,0x0000000a,0x02002002
2,0x0000000a,0x02005005
2,0x0000000a,0x02007007
2,0x0000000a,0x0200a00a
2,0x0000000a,0x0200f00f
2,0x0000000a,0x03005005
2,0x0000000a,0x03006006
2,0x0000000a,0x0300e00e
2,0x0000000a,0x04004004
2,0x0000000a,0x04006006
2,0x0000000a,0x05002002
2,0x0000000a,0x05003003
2,0x0000000a,0x05007007
2,0x0000000a,0x06001001
2,0x0000000a,0x06003003
2,0x0000000a,0x06004004
2,0x0000000a,0x06007007
2,0x0000000a,0x0600b00b
2,0x0000000a,0x0600d00d
2,0x0000000a,0x07002002
2,0x0000000a,0x07005005
2,0x0000000a,0x07006006
2,0x0000000a,0x07007007
2,0x0000000a,0x0700f00f
2,0x0000000a,0x08008008
2,0x0000000a,0x0800f00f
2,0x0000000a,0x0900d00d
2,0x0000000a,0x0900f00f
2,0x0000000a,0x0a002002
2,0x0000000a,0x0a00a00a
2,0x0000000a,0x0a00f00f
2,0x0000000a,0x0b001001
2,0x0000000a,0x0b006006
2,0x0000000a,0x0c00c00c
2,0x0000000a,0x0d006006
2,0x0000000a,0x0d009009
2,0x0000000a,0x0e003003
2,0x0000000a,0x0f002002
2,0x0000000a,0x0f007007
2,0x0000000a,0x0f008008
2,0x0000000a,0x0f009009
2,0x0000000a,0x0f00a00a
2,0x0000000b,0x01005005
2,0x0000000b,0x0200b00b
2,0x0000000b,0x0200c00c
2,0x0000000b,0x03003003
2,0x0000000b,0x03008008
2,0x0000000b,0x0300a00a
2,0x0000000b,0x04004004
2,0x0000000b,0x05001001
2,0x0000000b,0x06008008
2,0x0000000b,0x0600f00f
2,0x0000000b,0x0700c00c
2,0x0000000b,0x0700e00e
2,0x0000000b,0x08003003
2,0x0000000b,0x08006006
2,0x0000000b,0x0800b00b
2,0x0000000b,0x0800c00c
2,0x0000000b,0x0800e00e
2,0x0000000b,0x0900d00d
2,0x0000000b,0x0a003003
2,0x0000000b,0x0a00c00c
2,0x0000000b,0x0b002002
2,0x0000000b,0x0b008008
2,0x0000000b,0x0b00b00b
2,0x0000000b,0x0c002002
2,0x0000000b,0x0c007007
2,0x0000000b,0x0c008008
2,0x0000000b,0x0c00a00a
2,0x0000000b,0x0c00c00c
2,0x0000000b,0x0c00f00f
2,0x0000000b,0x0d009009
2,0x0000000b,0x0e007007
2,0x0000000b,0x0e008008
2,0x0000000b,0x0f006006
2,0x0000000b,0x0f00c00c
2,0x0000000c,0x02007007
2,0x0000000c,0x0200a00a
2,0x0000000c,0x0200b00b
2,0x0000000c,0x0200f00f
2,0x0000000c,0x03003003
2,0x0000000c,0x0300b00b
2,0x0000000c,0x07002002
2,0x0000000c,0x0700a00a
2,0x0000000c,0x0700f00f
2,0x0000000c,0x08008008
2,0x0000000c,0x0800f00f
2,0x0000000c,0x0a002002
2,0x0000000c,0x0a007007
2,0x0000000c,0x0a00b00b
2,0x0000000c,0x0a00f00f
2,0x0000000c,0x0b002002
2,0x0000000c,0x0b003003
2,0x0000000c,0x0b00a00a
2,0x0000000c,0x0b00b00b
2,0x0000000c,0x0b00c00c
2,0x0000000c,0x0c00b00b
2,0x0000000c,0x0c00c00c
2,0x0000000c,0x0f002002
2,0x0000000c,0x0f007007
2,0x0000000c,0x0f008008
2,0x0000000c,0x0f00a00a
2,0x0000000c,0x0f00f00f
2,0x0000000d,0x01003003
2,0x0000000d,0x01007007
2,0x0000000d,0x01009009
2,0x0000000d,0x0100d00d
2,0x0000000d,0x0100f00f
2,0x0000000d,0x02003003
2,0x0000000d,0x03001001
2,0x0000000d,0x03002002
2,0x0000000d,0x03004004
2,0x0000000d,0x0300a00a
2,0x0000000d,0x0300e00e
2,0x0000000d,0x04003003
2,0x0000000d,0x04004004
2,0x0000000d,0x04006006
2,0x0000000d,0x0400b00b
2,0x0000000d,0x05006006
2,0x0000000d,0x05009009
2,0x0000000d,0x0500d00d
2,0x0000000d,0x06004004
2,0x0000000d,0x06005005
2,0x0000000d,0x06009009
2,0x0000000d,0x07001001
2,0x0000000d,0x0700d00d
2,0x0000000d,0x0700e00e
2,0x0000000d,0x09001001
2,0x0000000d,0x09005005
2,0x0000000d,0x09006006
2,0x0000000d,0x0a003003
2,0x0000000d,0x0b004004
2,0x0000000d,0x0b00b00b
2,0x0000000d,0x0b00d00d
2,0x0000000d,0x0d001001
2,0x0000000d,0x0d005005
2,0x0000000d,0x0d007007
2,0x0000000d,0x0d00b00b
2,0x0000000d,0x0d00f00f
2,0x0000000d,0x0e003003
2,0x0000000d,0x0e007007
2,0x0000000d,0x0e00e00e
2,0x0000000d,0x0e00f00f
2,0x0000000d,0x0f001001
2,0x0000000d,0x0f00d00d
2,0x0000000d,0x0f00e00e
2,0x0000000e,0x02002002
2,0x0000000e,0x02007007
2,0x0000000e,0x0200b00b
2,0x0000000e,0x0200f00f
2,0x0000000e,0x03003003
2,0x0000000e,0x0300b00b
2,0x0000000e,0x0300c00c
2,0x0000000e,0x07002002
2,0x0000000e,0x0700a00a
2,0x0000000e,0x08008008
2,0x0000000e,0x0800f00f
2,0x0000000e,0x0a007007
2,0x0000000e,0x0a00a00a
2,0x0000000e,0x0a00b00b
2,0x0000000e,0x0a00f00f
2,0x0000000e,0x0b002002
2,0x0000000e,0x0b003003
2,0x0000000e,0x0b00a00a
2,0x0000000e,0x0c003003
2,0x0000000e,0x0c00c00c
2,0x0000000e,0x0f002002
2,0x0000000e,0x0f008008
2,0x0000000e,0x0f00a00a
2,0x0000000e,0x0f00f00f
2,0x0000000f,0x01001001
2,0x0000000f,0x01006006
2,0x0000000f,0x0100d00d
2,0x0000000f,0x02003003
2,0x0000000f,0x02007007
2,0x0000000f,0x02008008
2,0x0000000f,0x0200a00a
2,0x0000000f,0x03002002
2,0x0000000f,0x03006006
2,0x0000000f,0x03009009
2,0x0000000f,0x0300a00a
2,0x0000000f,0x05005005
2,0x0000000f,0x05009009
2,0x0000000f,0x0500b00b
2,0x0000000f,0x06001001
2,0x0000000f,0x06003003
2,0x0000000f,0x06007007
2,0x0000000f,0x06009009
2,0x0000000f,0x0600f00f
2,0x0000000f,0x07002002
2,0x0000000f,0x07006006
2,0x0000000f,0x07007007
2,0x0000000f,0x07008008
2,0x0000000f,0x07009009
2,0x0000000f,0x0700d00d
2,0x0000000f,0x08002002
2,0x0000000f,0x08007007
2,0x0000000f,0x08008008
2,0x0000000f,0x0800a00a
2,0x0000000f,0x0800f00f
2,0x0000000f,0x09003003
2,0x0000000f,0x09005005
2,0x0000000f,0x09006006
2,0x0000000f,0x09007007
2,0x0000000f,0x0900e00e
2,0x0000000f,0x0900f00f
2,0x0000000f,0x0a002002
2,0x0000000f,0x0a003003
2,0x0000000f,0x0a008008
2,0x0000000f,0x0a00f00f
2,0x0000000f,0x0b005005
2,0x0000000f,0x0b00b00b
2,0x0000000f,0x0d001001
2,0x0000000f,0x0d007007
2,0x0000000f,0x0d00e00e
2,0x0000000f,0x0d00f00f
2,0x0000000f,0x0e009009
2,0x0000000f,0x0e00d00d
2,0x0000000f,0x0e00e00e
2,0x0000000f,0x0f006006
2,0x0000000f,0x0f008008
2,0x0000000f,0x0f009009
2,0x0000000f,0x0f00a00a
2,0x0000000f,0x0f00d00d
2,0x0000000f,0x0f00f00f
2,0x00000010,0x15540000
2,0x00000010,0x17760000
2,0x00000010,0x1bba0000
2,0x00000010,0x1ffe0000
2,0x00000010,0x22200000
2,0x00000010,0x23310000
2,0x00000010,0x32210000
2,0x00000010,0x34470000
2,0x00000010,0x43370000
2,0x00000010,0x4bbf0000
2,0x00000010,0x4eea0000
2,0x00000010,0x51140000
2,0x00000010,0x5eeb0000
2,0x00000010,0x66600000
2,0x00000010,0x6ddb0000
2,0x00000010,0x71160000
2,0x00000010,0x799e0000
2,0x00000010,0x7ee90000
2,0x00000010,0x88800000
2,0x00000010,0x8cc40000
2,0x00000010,0x977e0000
